"","also","alway","amaz","atmospher","awesom","back","target"
"735",1,0,0,0,0,0,"1"
"736",0,0,0,0,0,1,"0"
"737",1,0,0,0,0,0,"0"
"738",0,0,0,0,0,0,"1"
"739",0,0,0,0,0,0,"1"
"740",0,0,0,0,0,0,"1"
"741",0,0,0,0,0,0,"1"
"742",0,0,0,0,0,0,"0"
"743",0,0,0,0,0,0,"0"
"744",0,0,0,0,0,0,"0"
"745",0,0,0,0,0,1,"0"
"746",0,0,0,0,0,0,"1"
"747",0,0,0,0,0,0,"1"
"748",0,1,0,0,0,0,"1"
"749",0,0,0,0,0,0,"0"
"750",0,0,0,0,0,0,"1"
"751",0,0,0,0,0,0,"1"
"752",0,0,0,0,0,0,"1"
"753",0,0,0,0,0,0,"1"
"754",0,0,0,0,0,0,"1"
"755",0,0,0,0,0,0,"0"
"756",0,0,0,0,0,0,"1"
"757",0,0,0,0,0,0,"0"
"758",0,0,0,0,0,0,"1"
"759",0,0,0,0,0,0,"1"
"760",0,0,0,0,0,0,"0"
"761",0,0,0,0,0,0,"1"
"762",0,0,0,0,0,0,"0"
"763",0,0,0,0,0,0,"0"
"764",0,0,0,0,0,0,"0"
"765",0,0,0,0,0,0,"1"
"766",0,0,0,0,0,0,"0"
"767",0,0,0,0,0,1,"1"
"768",0,0,1,0,0,0,"1"
"769",0,0,0,0,0,0,"1"
"770",0,0,0,0,0,0,"1"
"771",0,0,0,0,0,0,"0"
"772",0,0,0,0,0,0,"1"
"773",0,0,0,0,0,0,"0"
"774",0,0,0,0,0,0,"0"
"775",0,0,1,0,0,0,"1"
"776",0,0,0,0,0,0,"0"
"777",0,0,0,0,0,0,"1"
"778",0,0,0,0,0,0,"0"
"779",0,0,0,0,0,0,"0"
"780",0,0,0,0,0,0,"0"
"781",0,0,0,0,0,0,"1"
"782",0,0,0,0,1,0,"1"
"783",0,0,0,0,0,0,"1"
"784",0,0,0,0,0,0,"0"
"785",0,0,0,0,0,0,"0"
"786",0,0,0,0,0,0,"1"
"787",0,0,0,0,0,1,"0"
"788",0,0,0,0,0,0,"1"
"789",0,0,0,0,0,0,"1"
"790",0,0,0,1,0,0,"1"
"791",0,0,0,0,0,0,"1"
"792",0,0,0,0,0,0,"0"
"793",0,0,0,0,0,0,"0"
"794",0,0,0,0,0,0,"1"
"795",0,0,0,0,0,0,"0"
"796",0,0,0,0,0,0,"1"
"797",0,0,0,0,0,0,"1"
"798",0,0,0,0,0,0,"1"
"799",0,0,0,0,0,0,"0"
"800",0,0,0,0,0,0,"1"
"801",0,0,0,0,0,0,"0"
"802",0,0,0,0,0,0,"1"
"803",0,0,0,0,0,0,"0"
"804",0,0,0,0,0,0,"1"
"805",0,0,0,0,0,0,"1"
"806",0,0,0,0,0,0,"0"
"807",0,0,0,0,0,0,"1"
"808",0,0,0,0,0,0,"0"
"809",0,0,0,0,0,0,"1"
"810",0,0,1,0,1,0,"1"
"811",0,0,0,0,0,0,"0"
"812",0,0,0,0,0,0,"0"
"813",0,0,0,0,0,0,"0"
"814",0,0,0,0,0,0,"0"
"815",0,0,0,0,0,0,"1"
"816",0,0,0,0,0,0,"1"
"817",0,0,0,0,0,0,"0"
"818",0,0,0,0,0,0,"1"
"819",0,0,0,0,0,0,"0"
"820",0,0,0,0,0,0,"0"
"821",0,0,0,0,0,0,"0"
"822",0,0,0,0,0,0,"0"
"823",0,0,0,0,0,0,"1"
"824",0,0,0,0,0,0,"1"
"825",0,0,0,0,0,0,"0"
"826",0,0,0,0,0,0,"0"
"827",0,0,0,0,0,0,"0"
"828",0,0,0,0,0,0,"0"
"829",0,0,0,0,0,0,"0"
"830",0,0,0,0,0,0,"0"
"831",0,0,0,0,0,0,"0"
"832",0,0,0,0,0,0,"0"
"833",0,0,0,0,0,0,"0"
"834",0,0,0,0,0,0,"1"
"835",0,0,0,0,0,0,"1"
"836",0,0,0,0,0,0,"0"
"837",0,0,0,0,0,0,"1"
"838",0,0,0,0,0,0,"0"
"839",0,0,0,0,0,0,"0"
"840",0,0,0,0,0,1,"1"
"841",0,0,0,0,0,0,"0"
"842",0,0,0,0,0,0,"1"
"843",0,0,0,0,0,0,"1"
"844",0,0,0,0,0,1,"0"
"845",0,0,0,0,0,0,"0"
"846",0,0,0,0,0,0,"0"
"847",0,0,0,0,0,0,"0"
"848",0,0,0,0,1,0,"1"
"849",0,0,0,0,0,0,"0"
"850",0,0,0,0,0,0,"0"
"851",0,0,0,0,0,0,"1"
"852",0,0,0,0,0,0,"0"
"853",0,0,0,0,0,0,"1"
"854",0,0,0,0,0,0,"1"
"855",0,0,0,0,0,0,"0"
"856",0,0,0,0,0,0,"0"
"857",0,0,0,0,0,0,"1"
"858",0,0,0,0,0,0,"1"
"859",0,0,0,0,0,1,"0"
"860",0,0,0,0,0,0,"0"
"861",0,0,0,0,0,0,"1"
"862",0,0,0,0,0,1,"1"
"863",0,0,0,0,0,0,"0"
"864",0,0,0,0,0,0,"1"
"865",0,1,0,0,0,0,"1"
"866",0,0,0,0,0,0,"1"
"867",0,0,0,0,1,0,"1"
"868",0,0,0,0,0,0,"1"
"869",0,0,0,0,0,0,"1"
"870",0,0,0,0,0,0,"0"
"871",0,0,0,0,0,0,"0"
"872",0,0,0,0,0,0,"0"
"873",0,0,0,0,0,0,"1"
"874",0,0,0,0,0,0,"1"
"875",0,0,0,0,0,0,"0"
"876",0,0,0,0,0,0,"0"
"877",0,0,0,0,0,0,"0"
"878",0,0,0,0,0,0,"1"
"879",0,0,0,0,0,0,"1"
"880",0,0,1,0,0,0,"0"
"881",0,0,0,0,0,0,"0"
"882",0,0,0,0,0,0,"0"
"883",0,0,0,0,0,0,"1"
"884",0,0,0,0,0,0,"0"
"885",0,0,0,0,0,0,"0"
"886",0,0,0,0,0,0,"0"
"887",0,0,0,0,0,0,"0"
"888",0,0,0,0,0,0,"0"
"889",0,0,0,0,0,0,"1"
"890",0,0,0,0,0,0,"0"
"891",0,0,0,0,0,0,"1"
"892",1,0,0,0,0,0,"1"
"893",0,0,0,0,0,0,"0"
"894",0,0,0,0,0,0,"0"
"895",0,0,0,0,0,0,"1"
"896",0,0,0,0,0,0,"1"
"897",0,0,0,0,0,0,"1"
"898",0,0,0,0,0,0,"1"
"899",0,0,0,0,0,0,"0"
"900",0,0,0,0,0,0,"1"
"901",0,0,0,0,0,0,"0"
"902",0,0,0,0,0,0,"1"
"903",0,0,0,0,0,0,"0"
"904",0,0,0,0,0,0,"0"
"905",0,0,0,0,0,0,"0"
"906",1,0,0,0,0,0,"0"
"907",0,0,0,0,0,0,"0"
"908",0,0,1,0,0,0,"1"
"909",0,0,0,0,0,0,"0"
"910",0,0,0,0,0,0,"1"
"911",0,0,0,0,0,0,"0"
"912",0,0,0,0,0,0,"0"
"913",0,0,0,0,0,0,"0"
"914",0,0,0,0,0,0,"0"
"915",0,0,0,0,0,0,"0"
"916",0,0,0,0,0,0,"0"
"917",0,0,0,0,0,0,"0"
"918",0,0,0,0,0,0,"0"
"919",0,0,0,0,0,0,"0"
"920",0,0,0,0,0,0,"0"
"921",0,0,0,0,0,1,"0"
"922",0,0,0,0,0,0,"0"
"923",0,0,0,0,0,0,"1"
"924",0,0,0,0,0,0,"0"
"925",0,0,0,0,0,0,"0"
"926",0,0,0,0,0,0,"0"
"927",0,0,0,0,0,0,"0"
"928",1,0,0,0,0,0,"0"
"929",0,0,0,0,0,0,"0"
"930",0,0,0,0,0,0,"0"
"931",0,0,0,0,0,0,"0"
"932",0,0,0,0,0,0,"0"
"933",0,0,0,0,0,0,"0"
"934",0,0,0,0,0,1,"0"
"935",0,0,0,0,0,0,"0"
"936",0,0,0,0,0,0,"0"
"937",0,0,0,0,0,0,"0"
"938",0,0,0,0,0,0,"0"
"939",0,0,0,0,0,0,"0"
"940",0,0,0,0,0,0,"0"
"941",0,0,0,0,0,0,"0"
"942",0,0,0,0,0,1,"0"
"943",0,0,0,0,0,0,"0"
"944",0,0,0,0,0,0,"0"
"945",0,0,0,0,0,0,"0"
"946",0,0,0,0,0,0,"0"
"947",0,0,0,0,0,0,"0"
"948",0,0,0,0,0,0,"0"
"949",0,0,0,0,0,0,"0"
"950",0,0,0,0,0,0,"0"
"951",0,0,0,0,0,0,"0"
"952",1,1,0,0,0,0,"0"
"953",0,0,0,0,0,0,"0"
"954",0,0,0,0,0,0,"0"
"955",0,0,0,0,0,0,"0"
"956",0,0,0,0,0,1,"0"
"957",0,0,0,0,0,0,"0"
"958",0,0,0,0,0,0,"0"
"959",0,0,0,0,0,0,"0"
"960",0,0,0,0,0,0,"0"
"961",0,0,0,0,0,0,"0"
"962",0,0,0,0,0,0,"0"
"963",0,0,0,0,0,0,"0"
"964",0,0,0,0,0,0,"0"
"965",0,0,0,0,0,0,"0"
"966",0,0,0,0,0,0,"0"
"967",0,0,0,0,0,0,"0"
"968",0,0,0,0,0,1,"0"
"969",0,0,0,0,0,0,"0"
"970",0,0,0,0,0,1,"0"
"971",0,0,0,0,0,0,"0"
"972",0,0,0,0,0,0,"0"
"973",0,0,0,0,0,0,"0"
"974",0,0,0,0,0,0,"0"
"975",0,0,0,0,0,0,"0"
"976",0,0,0,0,0,0,"0"
"977",0,0,0,0,0,0,"0"
"978",0,0,0,0,0,0,"0"
"979",0,0,0,0,0,0,"0"
"980",0,0,0,0,0,0,"0"
"981",0,0,0,0,0,0,"0"
"982",0,0,0,0,0,0,"0"
"983",0,0,0,0,0,0,"0"
"984",0,0,0,0,0,0,"0"
"985",0,0,0,0,0,0,"0"
"986",0,0,0,0,0,0,"0"
"987",0,0,0,0,0,0,"0"
"988",0,0,0,0,0,0,"0"
"989",0,0,0,0,0,0,"0"
"990",0,0,0,0,0,0,"0"
"991",0,0,0,0,0,0,"0"
"992",0,0,0,0,0,0,"0"
"993",0,0,0,0,0,0,"0"
"994",0,0,0,0,0,0,"0"
"995",0,0,0,0,0,0,"0"
"996",0,0,0,0,0,0,"0"
"997",0,0,0,0,0,0,"0"
"998",0,0,0,0,0,1,"0"
"999",0,0,0,0,0,0,"0"
"1000",0,0,0,0,0,0,"0"
